trade_date,account,coin,sentiment_bucket,trades,pnl,win_rate,notional,fg_value_mean,pnl_per_notional
2024-03-09,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,SUSHI,Greed,7,82.05869199999998,0.14285714285714285,9520.5,84.0,0.008619157817341523
2024-03-09,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,TIA,Greed,21,4620.558,0.38095238095238093,112753.56,84.0,0.04097926486755717
2024-03-09,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,UNI,Greed,2,45.71704,0.5,4046.7799999999997,84.0,0.011297139948304578
2024-03-09,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,UNIBOT,Greed,4,325.055769,0.5,2333.2599999999998,84.0,0.1393139937255171
2024-03-09,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,USTC,Greed,4,333.339015,0.5,2185.84,84.0,0.15249927487830764
2024-03-09,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,ZRO,Greed,7,341.7053,0.8571428571428571,1341.31,84.0,0.2547549037880878
2024-03-09,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,kPEPE,Greed,38,-2422.189239,0.02631578947368421,118284.21,84.0,-0.020477705680242524
2024-03-09,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,kSHIB,Greed,2,500.554796,0.5,2500.78,84.0,0.2001594686457825
2024-07-03,0x271b280974205ca63b716753467d5a371de622ab,SOL,Neutral,5,-1.0,0.0,30351.0,50.0,-3.2947843563638756e-05
2024-07-03,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,@10,Neutral,3,-0.063484,0.0,37.260000000000005,50.0,-0.0017038110574342455
2024-07-03,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,@13,Neutral,3,-0.12379,0.0,52.86000000000001,50.0,-0.0023418463866818006
2024-07-03,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,@16,Neutral,3,-0.060429,0.0,35.86,50.0,-0.0016851366424986056
2024-07-03,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,@18,Neutral,1,0.0,0.0,0.46,50.0,0.0
2024-07-03,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,@19,Neutral,1,0.0,0.0,0.17,50.0,0.0
2024-07-03,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,@25,Neutral,1,0.0,0.0,0.65,50.0,0.0
2024-07-03,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,@26,Neutral,9,-0.25801799999999997,0.0,24.57,50.0,-0.0105013431013431
2024-07-03,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,@29,Neutral,5,-0.078374,0.0,23.7,50.0,-0.0033069198312236287
2024-07-03,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,@30,Neutral,1,0.0,0.0,0.69,50.0,0.0
2024-07-03,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,@34,Neutral,1,0.0,0.0,0.81,50.0,0.0
2024-07-03,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,@35,Neutral,3,67.028127,0.6666666666666666,68.21000000000001,50.0,0.9826730244832135
2024-07-03,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,@38,Neutral,2,33.271993,0.5,33.4,50.0,0.9961674550898204
2024-07-03,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,@39,Neutral,2,12.238556,0.5,12.57,50.0,0.9736321400159109
2024-07-03,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,@40,Neutral,2,16.748319,0.5,17.58,50.0,0.9526916382252559
2024-07-03,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,@41,Neutral,2,36.73844,0.5,37.23,50.0,0.9867966693526726
2024-07-03,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,@42,Neutral,1,0.0,0.0,0.74,50.0,0.0
2024-07-03,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,@44,Neutral,1,0.0,0.0,0.65,50.0,0.0
2024-07-03,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,@46,Neutral,1,0.0,0.0,0.01,50.0,0.0
2024-07-03,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,@47,Neutral,3,50.313458,0.6666666666666666,51.099999999999994,50.0,0.9846077886497066
2024-07-03,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,PURR/USDC,Neutral,35,0.0,0.0,60981.3,50.0,0.0
2024-07-03,0x430f09841d65beb3f27765503d0f850b8bce7713,@11,Neutral,1,0.0,0.0,0.61,50.0,0.0
2024-07-03,0x430f09841d65beb3f27765503d0f850b8bce7713,@15,Neutral,1,0.0,0.0,0.67,50.0,0.0
2024-07-03,0x430f09841d65beb3f27765503d0f850b8bce7713,@19,Neutral,1,0.0,0.0,0.64,50.0,0.0
2024-07-03,0x430f09841d65beb3f27765503d0f850b8bce7713,@21,Neutral,1,0.0,0.0,0.94,50.0,0.0
2024-07-03,0x430f09841d65beb3f27765503d0f850b8bce7713,@44,Neutral,1,0.0,0.0,0.12,50.0,0.0
2024-07-03,0x430f09841d65beb3f27765503d0f850b8bce7713,@46,Neutral,1,0.0,0.0,0.53,50.0,0.0
2024-07-03,0x430f09841d65beb3f27765503d0f850b8bce7713,@48,Neutral,1,0.0,0.0,0.68,50.0,0.0
2024-07-03,0x430f09841d65beb3f27765503d0f850b8bce7713,@61,Neutral,1,0.0,0.0,0.62,50.0,0.0
2024-07-03,0x430f09841d65beb3f27765503d0f850b8bce7713,@7,Neutral,1,0.0,0.0,0.03,50.0,0.0
